quote,author,category
Silence is argument carried out by other means.,Ernesto Che Guevara,"inspirational, life, revolutionary"
"dont be afraid of death, be afraid of the unlived life.","Natalie Babbitt, Tuck Everlasting",life
"We remember the past, live in the present, and write the future.","Shaun David Hutchinson, We Are the Ants","future, inspiring, life, we-are-the-ants, writing"
Skinny guys fight till they're burger.,"Chuck Palahniuk, Fight Club","fight, life, men"
Tomorrow belongs to those who can hear it coming,David Bowie,"future, inspirational, life"
Oh threats of Hell and Hopes of Paradise! Life flies,One thing is certain and the rest is Lies -The Flower that once has blown forever dies.,"Omar Khayyám, Rubaiyat of Omar Khayyam"
I have stitched life into me like a rare organ,Sylvia Plath,"death, life, sylvia-plath"
"The mind is a wonderful servant, but a terrible master.",Robin S. Sharma,"inspirational-quotes, life, wisdom"
You didn't just cheat on me, you cheated on us. You didn't just break my heart, you broke our future.
Those who don't jump will never fly.,"Leena Ahmad Almashat, Harmony Letters","fly, jump, life, opportunity, success, try"
What am I dying for?,"Stephenie Meyer, The Host","death, life"
In a well-ordered universe...,"Morgan Matson, Since You've Been Gone","life, universe"
If you own this story you get to write the ending.,Brené Brown,"life, personal-responsibility, self, story, taking-ownership"
"I want to Live! Not Die, Not Hide, LIVE!","Margaret Peterson Haddix, Among the Hidden","book, inspirational, life"
It’s never overreacting to ask for what you want and need.,Amy Poehler,"inspirational, life, mental-health, needs, overreaction, reaction, wants, wisdom"
Between living and dreaming there is a third thing. Guess it.,Antonio Machado,"dream, dreaming, dreams, food-for-thought, guessing, life, living, philosophy"
"Life is hell, at some point we all just have to get used to it.","Alysha Speer, Sharden","hell, life, live, me, people, person, sharden, us, we"
"Life is doubt,And faith without doubt is nothing but death.",Miguel de Unamuno,"doubt, faith, life"
Pray for the dead and fight like hell for the living.,Mary Harris Jones,"dead, death, life, living, prayer"
"When mice run, cats give chase.","Rachel Vincent, Stray","funny, life, nature"
We are star stuff harvesting sunlight.,Carl Sagan,"carl-sagan, humans, life, science, solar-power, star-stuff"
Most people gaze neither into the past nor the future, they explore neither truth nor lies. They gaze at the television.,Radiohead
"To escape fear, you have to go through it, not around.","Richie Norton, Résumés Are Dead and What to Do About It","business, entrepreneurship, fear, fearless, good-living, life, living-without-regrets, overcoming-fear"
BRODIE:Hell hath no fury like a woman scorned for SEGA.,Kevin Smith,life
"Even as your body betrays you, your mind denies it.","Sara Gruen, Water for Elephants","betrayal, body, denial, life, mind, truth"
Imagine no limitations, decide what's right and desirable before you decide what's possible.,Brian Tracy
Learning the truth has become my life's love.,"Dan Brown, The Da Vinci Code","history, life, truth"
Until death it is all life,"Miguel de Cervantes Saavedra, Don Quixote","death, life, livving"
"My point is, that if I'm honest, my life is all about me.","Chuck Palahniuk, Invisible Monsters",life
There are always loose ends in real life.,"Robert Galbraith, The Silkworm","life, real-life, realism"
A heart has problems which mind cannot understand.,"Santosh Kalwar, Quote Me Everyday","heart, life, mind, problems"
"True life lies in laughter, love and work.",Elbert Hubbard,life
"If you have nothing in life but a good friend, you're rich.",Michelle Kwan,"friend, life"
Sometimes problems don’t require a solution to solve them, instead they require maturity to outgrow them.,"Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience"
I welcome questions. I hate assumptions.,Red Haircrow,"life, life-lessons, reality"
Happiness is not the absence of problems, it's the ability to deal with them.,"Steve Maraboli, Life, the Truth, and Being Free"
No one escapes from life alive.,"Michael Crichton, Congo","death, life"
I am not my body. My body is nothing without me.,"Tom Stoppard, Rock 'n' Roll","body, health, life, soul"
"So shut up, live, travel, adventure, bless and don't be sorry","Jack Kerouac, Desolation Angels","adventure, awakening, life, love, travel"
...people with nothing to declare carry the most.,"Jonathan Safran Foer, Extremely Loud and Incredibly Close","burdens, carry, life, nothing, struggles"
Life itself is the proper binge.,Julia Child,"food, life"
Stop giving your life away to other people.,"Steve Maraboli, Life, the Truth, and Being Free","accoun, inspirational, life, self-empowerment"
I always felt like you had to be important to have enemies.,"John Green, Paper Towns",life
I do not cling to life sufficiently to fear death.,"Alexandre Dumas, The Three Musketeers","death, fear, life"
Work harder on yourself than you do on your job.,Jim Rohn,"life, work"
Find a voice in a whisper.,"Martin Luther King Jr., Why We Can't Wait","advice, life"
We are the sum of all people we have ever met, you change the tribe and the tribe changes you.,"Dirk Wittenborn, Fierce People"
Love doesn't make the world go 'round, love is what makes the ride worthwhile.,Shannon L. Alder
Everybody was sorry. Sorry was easy. Sorry was for suckers.,"Gretchen McNeil, Possess","easy, life, people, regret, sorry, suckers"
All art is but dirtying the paper delicately.,"John Ruskin, The Elements of Drawing","art, drawing, drawings, humor, illustrate, life, ruskin, wisdom"
I'm dying and all I hear are insults!,Charles M. Schulz,life
My life will be the best illustration of all my work.,"Hans Christian Andersen, The Fairy Tale of My Life: An Autobiography","creative-process, illustration, life, work, writing"
There are only a few notes. Just variations on a theme.,John Lennon,"life, music"
I'm a fountain of blood. In the shape of a girl.,Björk,"body, life, music"
Timendi causa est nescire - Ignorance is the cause of fear.,"Seneca, Natural Questions","fear, ignorance, knowledge, life"
That is life... to begin again when everything is lost!,A.J. Cronin,life
Life is dear to every living thing, the worm that crawls upon the ground will struggle for it.,"Solomon Northup, Twelve Years a Slave"
"The past is a place of learning, not a place of living.",Roy T. Bennett,"experience, inspiration, inspirational, inspirational-quotes, inspire, inspiring, learning, life, life-quotes, living"
"Your nightmares follow you like a shadow, forever. ","Aleksandar Hemon, The Lazarus Project","life, nightmares, shadows"
"You make mistakes, mistakes don't make you",Maxwell Maltz,"failure, inspirational, life, mistakes, motivation, motivational, success"
"Please, touch me, I pray.","Jess C. Scott, The Intern","desire, friendship, funny, girl, hip-hop, honesty, humor, humour, imagination, individuality, life, love, lust, lust-for-life, music, novel, passion, reality, relationships, romance, self, sex, truth, wisdom, young, young-adult, young-adult-fiction, young-adult-literature, young-adult-novels, young-adults"
"If you would create something,you must be something.",Johann Wolfgang von Goethe,life
The dead do not hurt you, only the living do.,"Tess Gerritsen, The Sinner"
I admire those who do good and expect nothing in return.,Roy T. Bennett,"goodness, inspiration, inspirational, inspirational-quotes, inspire, inspiring, kindness, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking"
"Find a purpose to serve, not a lifestyle to live.","Criss Jami, Venus in Arms","achieve, achievement, achieving, ambition, goals, inspiration, inspirational, inspire, inspiring, life, lifestyle, living, meaning, motivate, motivating, motivation, motivational, purpose, purpose-in-life, reason, reason-to-breathe, reason-to-live, sacrifice, success, successful-living"
"In life, more than in anything else, it isn’t easy to end up alive.",Roman Payne,"accidents, death, dying, funny, humor, humour, life, truism"
Be where you are, otherwise you will miss your life.,Gautama Buddha
"There are no second chances in life, except to feel remorse.","Carlos Ruiz Zafón, The Shadow of the Wind","life, second-chances"
Life isn't a book. There's no guarantee of a happy ending.,"Kristin Cast, Hunted","life, zoey-redbird"
We all know we're going to die, what's important is the kind of men and women we are in the face of this.,"Anne Lamott, Bird by Bird: Some Instructions on Writing and Life"
I don’t know what it means to live.,"Haruki Murakami, Kafka on the Shore",life
I'm told there's no going back. So I'm choosing forward.,"David Levithan, Dash & Lily's Book of Dares","advice, dash, guide, life"
"Not life, but good life, is to be chiefly valued. ",Socrates,"life, value"
"Things don't matter, people do",Rosie Thomas,"friendship, life, love"
There is no better high than discovery.,Edward O. Wilson,"life, sobriety"
"This is a wonderful day, I have never seen this one before.",Maya Angelou,"beautiful, day, life, time"
Your greatest self has been waiting your whole life, don't make it wait any longer.,"Steve Maraboli, Life, the Truth, and Being Free"
The best laid schemes o' mice an' men gang aft agley.,"Robert Burns, Collected Poems of Robert Burns","circumstance, fate, life, planning, plans"
Lo esperado no sucede. Es lo inesperado lo que acontece.,Ernesto Sabato,"events, life, time"
"And life is what we make it.Always has been, always will be.",Grandma Moses,"inspirational, life"
It would be so nice if something made sense for a change.,"Lewis Carroll, Alice in Wonderland",life
Do more listening than talking, talk more about them than about you.,Roy T. Bennett
Live for each second without hesitation,Elton John,"ambition, life"
You are where you need to be. Just take a deep breath.,Lana Parrilla,"breath, faith, feather, hope, lana-parrilla, life, once-upon-a-time, sign"
Life is more fun if you play games.,"Roald Dahl, My Uncle Oswald","enjoyment, fun, games, life, play"
Truth is beauty,Lisi Harrison,"beuty, block, clique, crown, forgiveness, life, massie, monkies, summer-collection, truth"
To live is to be haunted.,"Philip K. Dick, Flow My Tears, the Policeman Said","haunted, life, live"
"Remember to breathe. It is after all, the secret of life.","Gregory Maguire, A Lion Among Men","breath, life, remember, secret"
"He who moves not forward, goes backward.",Johann Wolfgang von Goethe,"life, work"
There are no such things as curses, only people and their decisions,"Yvonne Wood, Dead Beautiful"
My heart is afraid that it will have to suffer.,"Paulo Coelho, The Alchemist","life, love"
Life stand still here.,"Virginia Woolf, Mrs. Dalloway",life
Risk means 'shit happens' or 'good luck,"Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza","good, life, luck, risk, uncertainty"
Sometimes life doesn't happen in chronological order.,"Colleen Hoover, Slammed",life
The night is just a part of the day,"Paulo Coelho, Brida","inspirational, life"
You gotta take chances in this life or you're alreadydead.,"Megan McCafferty, Second Helpings","dead, life"
Allow yourself to enjoy each happy moment in your life.,Steve Maraboli,"carpe-diem, happiness, inspirational, life, self-love"
"Don't stay in bed, unless you can make money in bed.",George Burns,life
Because you can only die once but you can suffer forever.,"Shaun David Hutchinson, We Are the Ants","death, die, life, suffer, we-are-the-ants"
The power to change your life lies in the simplest of steps.,Steve Maraboli,"change, inspirational, life, motivational, power, self-empowerment, success"
Never compromise your values.,"Steve Maraboli, Life, the Truth, and Being Free","accountability, choice, inspirational, life, responsibility, truth, values"
Courage is the price that life exacts for granting peace.,Amelia Earhart,"bravery, courage, life, peace"
"I failed to communicate, that's why I chose to leave",Bob Dylan,life
"Life's just a bunch of accidents, connected by one perfect end.",Daniel C. Tomas,"connection, end, life, perfect"
Be patient and open-minded in your interactions with others, find the positive attributes that they possess.,Roy T. Bennett
Applaud my idiocy.,Conan O'Brien,"absurd, life"
You have the ability to choose your reactions.,"Steve Maraboli, Life, the Truth, and Being Free","ability, life, motivational, perspective, reactions, truth"
We all give up great expectations along the way.,"Carlos Ruiz Zafón, The Angel's Game","hope, life"
Its important to be comfortable with uncertainty.,Xiaolu Guo,"chinese, life, wisdom"
"Sometimes, kids want you to hurt the way they hurt.",Mitch Albom,"life, parenting"
In my end is my beginning.,"T.S. Eliot, Four Quartets",life
The first step in making rabbit stew is catching the rabbit.,Isaac Asimov,life
Honey! Bring down a copy of my will - and an eraser!,Woody Allen,life
Associate with the noblest people you can find, read the best books, live with the mighty
Be yourself, everyone else is already taken.,Oscar Wilde
Be the change that you wish to see in the world.,Mahatma Gandhi,"action, change, inspirational, philosophy, wish"
No one can make you feel inferior without your consent.,"Eleanor Roosevelt, This is My Story","confidence, inspirational, wisdom"
"Without music, life would be a mistake.","Friedrich Nietzsche, Twilight of the Idols","inspirational, music, philosophy"
"We are all in the gutter, but some of us are looking at the stars.","Oscar Wilde, Lady Windermere's Fan","inspirational, optimism, perception, pessimism"
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison, failure, inspirational, paraphrased"
It is never too late to be what you might have been.,George Eliot,"inspirational, source-unknown"
"Do what you can, with what you have, where you are.",Theodore Roosevelt,inspirational
"A person's a person, no matter how small.","Dr. Seuss, Horton Hears a Who!",inspirational
Well-behaved women seldom make history.,"Laurel Thatcher Ulrich, Well-Behaved Women Seldom Make History","inspirational, misattributed-eleanor-roosevelt, women"
"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn,"attributed-no-source, inspirational"
Peace begins with a smile..,Mother Teresa,"inspirational, peace, smile, smiling"
"Whatever you are, be a good one.",Abraham Lincoln,inspirational
"Two wrongs don't make a right, but they make a good excuse.",Thomas Szasz,"humor, inspirational"
Always do what you are afraid to do.,Ralph Waldo Emerson,inspirational
Pain is inevitable. Suffering is optional.,"Haruki Murakami, What I Talk About When I Talk About Running","inspirational, running"
Turn your wounds into wisdom.,Oprah Winfrey,"experience, inspirational, pain, wisdom, wounds"
Hell is empty and all the devils are here.,"William Shakespeare, The Tempest",inspirational
War is peace. Freedom is slavery. Ignorance is strength.,"George Orwell, 1984","freedom, ignorance, inspirational, war"
None but ourselves can free our minds.,Bob Marley,"bob-marley, inspirational, music, reggae"
Only in the darkness can you see the stars.,Martin Luther King Jr.,"hope, inspirational"
It's kind of fun to do the impossible.,Walt Disney Company,inspirational
Pain is temporary. Quitting lasts forever.,"Lance Armstrong, Every Second Counts","cancer, failure, inspiration, inspirational, pain, quitting"
"People say nothing is impossible, but I do nothing every day.","A.A. Milne, Winnie-the-Pooh","humor, idleness, inspirational"
You never fail until you stop trying.,Albert Einstein,inspirational
You is kind. You is smart. You is important.,"Kathryn Stockett, The Help",inspirational
"You were born with wings, why prefer to crawl through life?",Jalaluddin Rumi,inspirational
Better to be strong than pretty and useless.,"Lilith Saintcrow, Strange Angels","girls, inspirational, pretty, strength, women"
"A ship is safe in harbor, but that's not what ships are for.",John A. Shedd,"courage, inspirational, misattributed-grace-hopper, misattributed-william-g-t-shedd, risk"
What's the good of living if you don't try a few things?,Charles M. Schulz,"cartoonist, humor, inspirational"
Try a little harder to be a little better.,Gordon B. Hinckley,inspirational
"Go on with what your heart tells you, or you will lose all.","Rick Riordan, The Lightning Thief",inspirational
"I kept always two books in my pocket, one to read, one to write in.","Robert Louis Stevenson, Essays of Robert Louis Stevenson","books, inspirational, on-writing, reading"
"I'd rather be hated for who I am, than loved for who I am not.",Kurt Cobain,inspirational
Tears are words that need to be written.,Paulo Coelho,"inspirational, sadness, writing"
Trees that are slow to grow bear the best fruit.,Molière,"inspirational, patience"
Even strength must bow to wisdom sometimes.,"Rick Riordan, The Lightning Thief","inspirational, wisdom"
Don't let the bastards grind you down.,"Margaret Atwood, The Handmaid's Tale",inspirational
Do no harm and leave the world a better place than you found it.,Patricia Cornwell,inspirational
I figured something out. The future is unpredictable.,"John Green, An Abundance of Katherines","humor, inspirational, obvious, stupid"
Wanting to be someone else is a waste of the person you are.,Marilyn Monroe,"inspirational, misattributed, self-acceptance, self-esteem"
"Shoot for the moon. Even if you miss, you'll land among the stars.",Norman Vincent Peale,inspirational
Ask for what you want and be prepared to get it!,Maya Angelou,inspirational
I am a part of all that I have met.,"Alfred Tennyson, The Complete Poetical Works of Tennyson","attitude, inspirational"
"If you want to be happy, be.",Leo Tolstoy,inspirational
"The question is not what you look at, but what you see.",Henry David Thoreau,inspirational
All thinking men are atheists.,"Ernest Hemingway, A Farewell to Arms","atheism, inspirational"
It is easy in the world to live after the world's opinion, it is easy in solitude to live after our own, but the great man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude.
Just because you can doesn't mean you should.,Sherrilyn Kenyon,inspirational
"I am not a teacher, but an awakener.",Robert Frost,"carpe-diem, education, inspirational, learning, mentoring"
"Men are from Earth, women are from Earth. Deal with it.",George Carlin,"common-sense, equality, feminism, humanism, humor, inspirational, men-and-women"
Because paper has more patience than people. ,Anne Frank,"affirming, inspirational, uplifting"
"We don't make mistakes, just happy little accidents.",Bob  Ross,"art, inspirational"
The best thing to hold onto in life is each other.,Audrey Hepburn,inspirational
"To love and win is the best thing.To love and lose, the next best.",William Makepeace Thackeray,inspirational
"Where there is ruin, there is hope for a treasure.",Jalaluddin Rumi,inspirational
"When I let go of what I am, I become what I might be.",Lao Tzu,inspirational
"Shoot for the moon, even if you fail, you'll land among the stars","Cecelia Ahern, P.S. I Love You","hope, inspirational"
I never want to change so much that people can't recognize me.,Taylor Swift,inspirational
"Life sucks, and then you die...","Stephenie Meyer, Breaking Dawn","humor, inspirational"
You'll never find a rainbow if you're looking down,Charlie Chaplin,"inspirational, optimism, pessimism, wonder"
Not being heard is no reason for silence.,"Victor Hugo, Les Misérables",inspirational
He that can have patience can have what he will.,Benjamin Franklin,"determination, inspirational, patience"
Wanting to be someone else is a waste of who you are,Kurt Cobain,"individuality, inspirational, misattributed, self-acceptance"
A Penny Saved is a Penny Earned,Benjamin Franklin,"funny, inspirational, money"
Aim higher in case you fall short.,"Suzanne Collins, Catching Fire","aspirations, goals, inspirational"
Make the most of yourself....for that is all there is of you.,Ralph Waldo Emerson,"be-yourself, inspirational, self-improvement"
We meet no ordinary people in our lives.,C.S. Lewis,inspirational
Believe you can and you're halfway there.,Theodore Roosevelt,"courage, inspirational, self-confidence"
"Travel far enough, you meet yourself.","David Mitchell, Cloud Atlas","inspirational, travel"
Music melts all the separate parts of our bodies together.,Anaïs Nin,inspirational
"There's so much to be grateful for, words are poor things.","Marilynne Robinson, Home","faith, inspirational"
Every man is a damn fool for at least five minutes every day, wisdom consists in not exceeding the limit.,"Elbert Hubbard, The Roycroft Dictionary Concocted by Ali Baba and the Bunch on Rainy Days"
Nothing great was ever achieved without enthusiasm.,Ralph Waldo Emerson,inspirational
Dream as if you will live forever, Live as if you will die today.,James  Dean
"Just be yourself, there is no one better.",Taylor Swift,"be-yourself, inspirational"
Those who look for the bad in people will surely find it.,Abraham Lincoln,inspirational
There is a way to be good again...,"Khaled Hosseini, The Kite Runner",inspirational
"Once we accept our limits, we go beyond them.",Albert Einstein,"inspirational, self-improvement, self-knowledge"
I'd rather be a rising ape than a falling angel.,Terry Pratchett,"humour, inspirational"
"Any emotion, if it is sincere, is involuntary.",Mark Twain,inspirational
There's more to life than dating the boy on the football team.,Taylor Swift,inspirational
"I never said it would be easy, I only said it would be worth it.",Mae West,"inspirational, religious"
Never dull your shine for somebody else.,Tyra Banks,"be-yourself, confidence, inspirational, self-expression, shine"
"Whatever the mind can conceive and believe, it can achieve.","Napoleon Hill, Think and Grow Rich: A Black Choice","inspirational, motivational, success"
Without fear there cannot be courage.,Christopher Paolini,"bravery, courage, fear, inspirational"
Don't ever take a fence down until you know why it was put up.,Robert Frost,"advice, caution, cautionary, inspirational"
"A dream is a wish your heart makes, when you're fast asleep.","Walt Disney Company, Cinderella",inspirational
Fake it 'till you make it.,"Gayle Forman, If I Stay",inspirational
"Those who do not weep, do not see.","Victor Hugo, Les Misérables","crying, inspirational, sorrow"
But life is a battle: may we all be enabled to fight it well!,"Charlotte Brontë, The Letters of Charlotte Brontë",inspirational
A goal without a plan is just a wish.,Antoine de Saint-Exupéry,"enterprise, humor, inspirational, planning"
Be melting snow.Wash yourself of yourself.,"Jalaluddin Rumi, The Essential Rumi",inspirational
Every blessing ignored becomes a curse.,"Paulo Coelho, The Alchemist",inspirational
"No act of kindness, no matter how small, is ever wasted.",Aesop,"compassion, inspirational, kindness"
If you dont have any shadows you're not in the light,Lady Gaga,"inspirational, meaningful, shadows"
Attitude is a little thing that makes a big difference.,Winston S. Churchill,"attitude, humor, inspirational"
I sustain myself with the love of family.,Maya Angelou,"family, inspirational"
Luck is what happens when preparation meets opportunity.,Seneca,inspirational
All I can be is me- whoever that is. ,Bob Dylan,"bob-dylan, inspirational"
"In the end, you have to choose whether or not to trust someone.","Sophie Kinsella, Shopaholic & Baby","human-nature, inspirational, literature, motivational, trust"
"Write it. Shoot it. Publish it. Crochet it, sauté it, whatever. MAKE.",Joss Whedon,"action, creating, humor, inspirational"
You save yourself or you remain unsaved.,Alice Sebold,"inspirational, rape, self-responsibility"
The dog is a gentleman, I hope to go to his heaven not man's.,Mark Twain
"The universe is made of stories, not of atoms.",Muriel Rukeyser,"craft, inspirational, muriel-rukeyser, writers"
Music is the literature of the heart, it commences where speech ends.,Alphonse de Lamartine
Everything's a risk. Not doing anything is a risk. It's up to you.,"Nicola Yoon, Everything, Everything",inspirational
"Where your treasure is, there will your heart be also.","Anonymous, Holy Bible: King James Version","harry-potter, heart, inspirational, treasure"
The stupid neither forgive nor forget, the naive forgive and forget, the wise forgive but do not forget.
Remember tonight... for it is the beginning of always,Dante Alighieri,"beginnings, inspirational, memory"
Heaven can be found in the most unlikely corners.,"Mitch Albom, The Five People You Meet in Heaven - Meniti Bianglala",inspirational
The most important decision you make is to be in a good mood.,Voltaire,inspirational
the time is always right to do the right thing,Martin Luther King Jr.,inspirational
"Bermimpilah, karena Tuhan akan memeluk mimpi-mimpi itu.","Andrea Hirata, Sang Pemimpi",inspirational
"Think, Believe, Dream, and Dare.",Walt Disney Company,inspirational
You become what you think about all day long.,Ralph Waldo Emerson,"inspirational, obsession"
Things do not change, we change.,"Henry David Thoreau, Walden"
"Keep your eyes on the stars, and your feet on the ground.",Theodore Roosevelt,inspirational
The duty of youth is to challenge corruption.,Kurt Cobain,"activism, dissent, inspirational, protest, truth-telling"
"Envy is ignorance, Imitation is Suicide.","Ralph Waldo Emerson, Self-Reliance",inspirational
"Instead of cursing the darkness, light a candle.",Benjamin Franklin,"inspirational, proverb"
"Maktub"" (It is written.)","Paulo Coelho, The Alchemist",inspirational
All great achievements require time.,Maya Angelou,"inspirational, motivation"
You get in life what you have the courage to ask for.,Oprah Winfrey,"inspirational, oprah"
Well done is better than well said.,Benjamin Franklin,inspirational
Ruin is a gift. Ruin is the road to transformation.,"Elizabeth Gilbert, Eat, Pray, Love",inspirational
Know thyself.,Socrates,inspirational
The greatest ideas are the simplest.,"William Golding, Lord of the Flies","inspirational, simplicity"
Try again. Fail again. Fail better.,Samuel Beckett,"existentialism, failure, inspirational"
Nothing will work unless you do.,Maya Angelou,inspirational
"We are all worms, But I do believe that I am a glow worm.","Winston S. Churchill, Never Give In!: The Best of Winston Churchill's Speeches",inspirational
"Things die. But they don't always stay dead. Believe me, I know.","Richelle Mead, Frostbite","death, inspirational"
The only limits for tomorrow are the doubts we have today.,"Pittacus Lore, The Power of Six","hector-ricardo, inspirational"
I don't fit into any stereotypes. And I like myself that way.,C. JoyBell C.,"fitting-in, individuality, inspirational, inspirational-attitude, inspirational-quotes, self-awareness, self-knowledge, stereotypes, uniqueness"
"Difficulties strengthen the mind, as labor does the body.",Seneca,"adversity, challenges, character, inspirational"
Stay hungry. Stay foolish.,Steve Jobs,inspirational
"Once you learn to quit, it becomes a habit.",Vince Lombardi Jr.,"football, inspirational, paradox, perseverance"
"You are willing to die, you coward, but not to live.","Hermann Hesse, Steppenwolf",inspirational
"I am seeking, I am striving, I am in it with all my heart.",Vincent van Gogh,inspirational
"Feet, what do I need them forIf I have wings to fly.",Frida Kahlo,inspirational
Scars are just another kind of memory.,"M.L. Stedman, The Light Between Oceans","inspirational, inspirational-quotes, memory, scars"
They laugh at me because I'm different, I laugh at them because they're all the same.,Kurt Cobain
Pointing to another world will never stop vice among us, shedding light over this world can alone help us.,Walt Whitman
...there ain't no journey what don't change you some.,"David Mitchell, Cloud Atlas","inspirational, journey, travel"
Life's great happiness is to be convinced we are loved.,"Victor Hugo, Les Misérables",inspirational
He not busy being born is busy dying.,Bob Dylan,"inspirational, lyrics, music, self-discovery, songs"
What would you do if you weren't afraid?,"Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead","business, career, inspirational, self-help, self-help-women, women"
What is now proved was once only imagined.,William Blake,"english-poet, inspirational, knowledge, willpower"
"Everything will turn out right, the world is built on that.","Mikhail Bulgakov, The Master and Margarita","humor, inspirational, satan"
Reality is wrong. Dreams are for the real.,Tupac Shakur,inspirational
You can't connect the dots looking forward, you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future.,Steve Jobs
Stop feeling sorry for yourself and you will be happy.,Stephen Fry,"inspirational, philosophy"
"I don't paint dreams or nightmares, I paint my own reality.",Frida Kahlo,"art, dreams, inspirational, nightmares, painting"
"Don't give up the fight,Stand up for your rights.",Bob Marley,"bob-marley, inspirational, strength"
"It is truth that liberates, not your effort to be free.","Jiddu Krishnamurti, The First and Last Freedom","inspirational, religion, truth"
A villain is just a victim whose story hasn’t been told.,"Chris Colfer, The Wishing Spell",inspirational
"If you can't you must, and if you must you can.",Anthony Robbins,inspirational
"Awake, arise or be for ever fall’n.","John Milton, Paradise Lost","inspirational, lucifer, rebellion, revolt, satan"
"I am who I am; no more, no less.","Terry Goodkind, Wizard's First Rule","inspirational, self-awareness, self-realization"
Only the gentle are ever really strong.,James  Dean,"actor, inspirational, movies"
Anything is possible. Anything can be.,Shel Silverstein,inspirational
We should not judge people by their peak of excellence, but by the distance they have traveled from the point where they started.,Henry Ward Beecher
Anything under God's control is never out of control.,Charles R. Swindoll,"god, hope, inspirational, jesus, relationship"
Written words can also sing.,"Ngũgĩ wa Thiong’o, Dreams in a Time of War","inspirational, writing"
Sticking feathers up your butt does not make you a chicken!,"Chuck Palahniuk, Fight Club","humor, inspirational, tyler-durden"
One mistake does not have to rule a person's entire life.,"Joyce Meyer, Any Minute","inspirational, mistakes, persistence"
We don't receive wisdom, we must discover it for ourselves after a journey that no one can take for us or spare us.,Marcel Proust
"The language of Friendship is not words, but meanings.","Henry David Thoreau, A Week on the Concord and Merrimack Rivers","friendship, inspirational, meaning"
A man who does not think for himself does not think at all.,Oscar Wilde,"inspirational, oscar-wilde"
Done is better than perfect.,"Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead","business, career, inspirational, lean-in, self-help, women"
Grace is the face that love wears when it meets imperfection.,Joseph R. Cooke,inspirational
"Don't find fault, find a remedy; anybody can complain",Henry Ford,"common-sense, inspirational"
Laughter is carbonated holiness.,Anne Lamott,"humor, inspirational, laughter"
"Love art in yourself, and not yourself in art.","Konstantin Stanislavski, My Life In Art","art, inspirational, theatre"
Do your best and let God do the rest.,Ben Carson,"best, god, inspirational"
"Instead of committing suicide, people go to work.","Thomas Bernhard, Correction","funny, humor, inspirational"
"If I must fall, may it be from a high place.","Paulo Coelho, By the River Piedra I Sat Down and Wept",inspirational
Life is wasted on the living.,"Douglas Adams, The Restaurant at the End of the Universe",inspirational
It takes a huge effort to free yourself from memory,"Paulo Coelho, Aleph","inspirational, remembrance"
What saves a man is to take a step. Then another step.,Antoine de Saint-Exupéry,inspirational
"If it sounds like writing, I rewrite it.","Elmore Leonard, Elmore Leonard's 10 Rules of Writing",inspirational
Life begins on the other side of despair.,Jean-Paul Sartre,inspirational
What's most important in a friendship? Tolerance and loyalty.,J.K. Rowling,inspirational
"When your will is God's will, you will have your will.",Charles Haddon Spurgeon,"god, inspirational"
Collective madness is called sanity ..,"Paulo Coelho, Veronika Decides to Die",inspirational
"We do not remember days, we remember moments.",Cesare Pavese,"inspirational, thought-provoking"
"Keep a little fire burning; however small, however hidden.","Cormac McCarthy, The Road","attitude, fire, hope, inspirational, persistence"
Do not dare not to dare.,"C.S. Lewis, The Horse and His Boy",inspirational
Normalness leads to sadness.,Phil Lester,inspirational
You can't find someone who doesn't want to be found.,"Isabel Allende, The House of the Spirits",inspirational
I am the captain of my soul.,Nelson Mandela,inspirational
It does not matter how slowly you go so long as you do not stop.,Andy Warhol,"don-t-give-up, inspirational, perseverance"
"Am I weird?""""Yeah. But so what? Everybody's weird.","Stephen King, Different Seasons","inspirational, stand-by-me, stephen-king"
"If you can dream it, you can do it.",Walt Disney Company,"aspirations, imagination, inspirational"
"Words save our lives, sometimes.","Neil Gaiman, The Ocean at the End of the Lane",inspirational
Happiness cannot be pursued, it must ensue.,"Viktor E. Frankl, Man's Search for Meaning"
God is subtle but he is not malicious.,Albert Einstein,inspirational
What we achieve inwardly will change outer reality.,Otto Rank,"inner-strength, inspirational, misattributed-plutarch"
It doesn’t matter what we are. It matters what we do.,"Michelle Hodkin, The Evolution of Mara Dyer",inspirational
"When I get sad, I stop being sad and be awesome instead.",Barney Stinson,"humor, inspirational"
Travel is never a matter of money but of courage,"Paulo Coelho, Aleph","inspirational, philosophy"
It serves me right for putting all my eggs in one bastard.,"Dorothy Parker, You Might as Well Live: The Life and Times of Dorothy Parker","abortion, inspirational"
"To those who will see, the world waits.",Libba Bray,inspirational
Everything stinks till it’s finished.,Dr. Seuss,"humor, inspirational"
Every problem is a gift - without problems we would not grow.,Anthony Robbins,"gift, growth, inspirational, problems"
