quote,author,category
Anybody can fail.,"M.G. Hardie, It Ain't Just The Size","mg-hardie, quote, quotes"
Feels so good to be quoted,Malebo Sephodi,"author, black-woman-author, quotes, writer-s-life, writers-on-writing"
You can't break the broken.,"Margarete Cassalina, See You at Sunset","fiction-novel, quotes, quotes-about-life"
Don’t beg for treasure, create it for yourself. Don’t beg for positions, build one for yourself.
Don’t beg for attention, pay attention to your dreams and others will pay attention to you.,"Israelmore Ayivor, 101 Keys To Everyday Passion"
You are loaded with answers, don’t live your entire life asking questions.,"Israelmore Ayivor, 101 Keys To Everyday Passion"
Love does not judge.,Madeleine L’Engle,"quotes, quotes-about-life, quotes-on-life-and-purpose, quotes-to-live-by"
Da shit you say!,"Brian   Cook, The Thin Blue Line: Perception is Deception","quotes, shit-happens, shitty-situation"
The truth will set you free.,"Gary L. Stewart, Susan Masfasa","quotes, quotes-about-life, quotes-to-live-by"
Work hard but work smart.,Chris Mentillo,"best-quotes-favorite-quotes, chris-mentillo, chris-mentillo-books, chris-mentillo-goodreads, chris-mentillo-horror, chris-mentillo-horror-books, chris-mentillo-quotes, classic-quotes, doc-mentillo, dr-chris-mentillo, dr-mentillo, famous-author-quotes, famous-authors, famous-people, famous-quotes, good-and-evil, goodreads, goodreads-author, goodreads-authors, goodreads-member, goodreads-quote, goodreads-quotes, horror, horror-authors, horror-fiction, horror-genre, horror-writer, mentillo, mentillo-quotes, quotes, quotes-from-authors-0-likes, tags"
"Be the decision, not ego.",Avishek Mondal,"decision, decision-making, decisions-and-actions, decisions-in-life, decisions-inspirational, quotes"
I don't get bad bitches, I make them.,Slicktor Victor Robinson
What a MOTHER means,Multitask PersonaOverwork beingTender heartedness humanEncourages peopleReliable friend,WISDOM KWASHIE MENSAH (WKM)
Love her but leave her wild ,"Atticus Poetry, Love Her Wild: Poems","atticus, atticus-poetry, atticuspoetry, her, instagram, love, love-her-wild, poems, poetry, quotes, wild"
Time is all we have and don’t. ,"Atticus Poetry, Love Her Wild: Poems","atticus, atticus-poetry, atticuspoetry, her, instagram, love, love-her-wild, poems, poetry, quotes, wild"
I am not a titleholder, I don't steal, I don't lie...
Honest is great legacy.,Fozia Malik,quotes
The truth hurt more than lies.,"Melissa Landers, Starfall","lies, melissa-landers, quotes, starfall, truth"
You will forever be my always.,"Swapna Rajput, The Beautiful Roses","love, lovequotes, quotes, romance"
Don't breathe to survive, dance and feel alive.,Shah Asad Rizvi
You are like a narcotic plant.,"Olga Goa, Fateful Italian Passion","dark-romance, erotic-romance, fateful-italian-passion, italian, love, love-quotes, passion, quotes, romance, series, series-romance"
Even dirty water has a bath,R.W. Erskine,"bath, dirty, quotes, water"
Magical since Birth.,Stephanie Lahart,"black-girl-magic, black-girls, black-girls-are-magic, black-girls-rock, black-woman, black-women-quotes, quote, quotes, stephanie-lahart, stephanie-lahart-quotes"
SHE Can. SHE Does. SHE Wins.,Stephanie Lahart,"black-girl-magic, black-girl-power, black-girl-quotes, black-girls-rock, empowering-girls, empowering-women, feminist-quotes, girl-empowerment, girl-power, power-women, quote, quotes, smart-girls, stephanie-lahart, stephanie-lahart-quotes, women-empowerment"
Keep Moving Forward,Meet the Robinsons,"disney, inspirational, keep-moving-forward, meet-the-robinsons, movies, quotes, so-true"
Youth is to venture, age is to love nature and reflect.,Debasish Mridha
Hatred imprisons the haters, love opens doors.,Debasish Mridha
Action achieves ambition.,"Amit Kalantri, Wealth of Words","achieve, achieves, act, action, adage, advertisement, alliterations, ambition, ambitious, amit-kalantri, amit-kalantri-quotes, amit-kalantri-writer, blog, blogging, book-writing, catch-lines, catchphrases, characters, creative-writing, efforts, essay, goal, goals, hard-work, inspirational, karma, knowledge, motivational, movie, movie-dialogue, novel-writing, philosophy, proverbs, public-speaking, punchline, quotes, rhetoric, script, script-writing, scriptwriting, social-networking, speech, speechwriting, story, tag-lines, taking-action, taking-steps, targets, try, trying, wisdom, wishes, writing"
Bitch inside innocence...!!!,M.Rehan Behleem,"bitch, innocence, quotes"
Cool down and think.,Istiak Ahmed,quotes
You don’t need to be perfect, just be yourself.,Debasish Mridha
Life dances on the moment.,Debasish Mridha,"debasish-mridha, debasish-mridha-md, everything-changes-in-a-moment, inspirational, life, life-dances, philosophy, quotes"
Give life a purpose to pursue.,Debasish Mridha,"debasish-mridha, debasish-mridha-md, give-life-a-purpose, inspirational, philosophy, pursue, pursue-life, quotes"
Dream more to live more.,Debasish Mridha,"debasish-mridha, debasish-mridha-md, dream, dream-more, inspirational, live-more, philosophy, quotes"
Time is always ready.,Debasish Mridha,"debasish-mridha, debasish-mridha-md, inspirational, passage-of-time, philosophy, quotes, time, time-is-always-ready"
Dare to blaze.,Lana M. H. Wilder,"blaze, dare, daring, lana, lana-m-h-wilder, lana-wilder, quote, quotes"
Never forget to smile, always forget to frown.,Debasish Mridha
"LOVE is, can, and will.",Stephanie Lahart,"inspirational-love-quotes, love-is, love-is-quotes, quote, quotes, quotes-about-love, stephanie-lahart-quotes"
Don’t fear criticism, fear stagnation.,Debasish Mridha
Always be ready to help, never exercise your right to criticize.,Debasish Mridha
No one can give you freedom, you only find it when you learn to overcome your fears.,Debasish Mridha
Love is the beauty, love is the truth. Love is the creative and sustaining energy of life,Debasish Mridha
"Feel special, because you are.",Debasish Mridha,"debasish-mridha, debasish-mridha-md, feel-special, inspirational, philosophy, quotes, you-are-special"
Embrace the wonder,Lynette Noni,"alex, embrace, library, lynette-noni, quotes"
Beauty is not out there, it is the reflection of your inner beauty. You carry it with you always.,Debasish Mridha
Knowledge makes sounds, wisdom is silent.,Debasish Mridha
Always be true to yourself, you matter the most.,Debasish Mridha
Don’t try to fit in, try to change.,Debasish Mridha
Don’t fear obstacles, offer a better path to walk on.,Debasish Mridha
Never fear to be wonderful.,Debasish Mridha,"be-wonderful, debasish-mridha, debasish-mridha-md, fear, inspirational-quotes, never-fear, philosophy, quotes"
Don’t grow older—grow wiser.,Debasish Mridha,"debasish-mridha, debasish-mridha-md, don-t-grow-older, grow-wiser, growing-older, growing-wiser, inspirational-quotes, philosophy, quotes"
Be friendly like a flower, smile to a stranger.,Debasish Mridha
Smile like a flower, appreciate to empower.,Debasish Mridha
Nature is not out there, it is in your being. You came from nature.,Debasish Mridha
Give your life a destination.,Debasish Mridha,"debasish-mridha, debasish-mridha-md, gandhi, inspirational, life, life-destination, life-journey, miraboli, oscar-wilde, philosophy, quotes"
A smile has a magical power, it makes everyone smile back.,Debasish Mridha
Love is not a place, it is a feeling in your being.,Debasish Mridha
"Resist much, obey little.","Walt Whitman, Leaves of Grass",poetry
Let our scars fall in love.,Galway Kinnell,poetry
"Always be a poet, even in prose.",Charles Baudelaire,"poetry, prose, writing"
Peace is always beautiful.,"Walt Whitman, Leaves of Grass","peace, poetry"
We ran as if to meet the moon.,Robert Frost,"moon, poetry, robert-frost"
Every angel is terrifying.,"Rainer Maria Rilke, Duino Elegies","angels, elegy, poetry"
HereI'm here-the snow falling.,Kobayashi Issa,"haiku, nature, poetry"
Love is a clash of lightnings,"Pablo Neruda, 100 Love Sonnets","beautiful, love, poetry, spanish, true"
"I am God, la de dah.","Anne Sexton, The Complete Poems","confessional-poetry, poetry"
Sing your life, any fool can think of words that rhyme.,Morrissey
"Resolve, and thou art free.","Henry Wadsworth Longfellow, Flower-de-Luce, and the Masque of Pandora","poetry, resolution"
Poetry is life distilled.,Gwendolyn Brooks,poetry
Love shall be our token, love be yours and love be mine. ,Christina Rossetti
Every word was once a poem.,Ralph Waldo Emerson,poetry
I am a work in progress.,"Violet Yates, Lost & Found","addiction, depression, poetry, recovery"
I think we are in rats’ alley, Where the dead men lost their bones.,"T.S. Eliot, The Waste Land"
You just go on your nerve.,Frank O'Hara,poetry
Poetry makes nothing happen.,W.H. Auden,"poetry, poets"
No one here likes a wet dog.,Billy Collins,poetry
Art too is just a way of living.,Rainer Maria Rilke,poetry
Give a poet a pen,A. Jarrell Hayes,"arts, author, culture, humor, inspirational, liberal-arts, life, poem, poetry, writing"
Only poetry isn't shit.,Roberto Bolaño,poetry
A poet could kill the dead.,"Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet","poetry, reputation"
We must listen to poets.,"Gaston Bachelard, The Poetics of Space","89, phenomenology, poetry, poets"
Everything is nothing.,Azaam Yahoo,"deep, emotional, inspirational, poetry"
Poetry is the scholar's art.,Wallace Stevens,poetry
Slogans are mere wordsuck...,Gabriel Thy,"poetry, slogans, suck, words"
I do not write poetry, I take words and dip them in feelings.,Arti Honrao
Impatience kills quickly.,Katerina Stoykova Klemer,"impatience, poem, poetry, short-poem"
Language is fossil Poetry.,Ralph Waldo Emerson,"language, poetry"
Don't be afraid of poetry.,"Clifton Fadiman, Clifton Fadiman's Fireside Reader","poems, poetry"
A poem is a meteor.,Wallace Stevens,"poem, poetry, poets, wallace-stevens"
Life is unbearable pain.,"Santosh Kalwar, Obscurity","life, pain, poetry"
Everything has its poetry. 94,"Joseph Joubert, The Notebooks of Joseph Joubert","poetry, writing"
Some women marry houses.,Anne Sexton,"anne-sexton, housewife, marriage, matrimony, poetry, relationships, women"
poems open doors,that don't even exist.,"Basith, Autopsy of the seasons"
If you can't beat em: Poem.,David  Rowe,poetry
